,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
25,Caring for relatives in need of special support at home needs to be better supported.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
26,The church should be separated from the state and Yle's devotional programs should be transferred to their own channels.,14,14_religion_religious_teaching_church,"['religion', 'religious', 'teaching', 'church', 'religions', 'common', 'schools', 'outlook', 'bible', 'separated']","[""The teaching of one's own religion should be replaced in elementary school with knowledge of the outlook on life common to all."", 'It is more than high time to reform the teaching of religion in schools into a common teaching of religion for all.', 'Religious teaching common to everyone without an identity card ev.lut. with an emphasis on religion. Let each religion take care of its own members.']",religion - religious - teaching - church - religions - common - schools - outlook - bible - separated,1.0,False
27,Deforestation must be prevented!,6,6_climate_nature_change_must,"['climate', 'nature', 'change', 'must', 'the', 'peat', 'forests', 'of', 'be', 'loss']","['I fear climate change', 'Society and the economy must be developed to be more equal so that the boundaries of nature are truly respected, i.e. nature and the climate first', 'The climate crisis and loss of nature are the most significant of all the political problems of the moment.']",climate - nature - change - must - the - peat - forests - of - be - loss,1.0,False
28,Respect for other people should be taught from childhood.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
29,Fur farming should be banned,3,3_food_production_meat_fur,"['food', 'production', 'meat', 'fur', 'be', 'farming', 'should', 'animals', 'of', 'the']","[""Agriculture must be supported because own food production is a key part of Finland's security of supply."", 'The share of subsidies for food production, i.e. the real price of food, should be made visible to consumers', 'The state should transfer subsidies from animal-based food production to plant-based food production, taking security of supply into account']",food - production - meat - fur - be - farming - should - animals - of - the,1.0,False
30,Finland is being developed too much on the terms of city dwellers,1,1_finland_finns_in_the,"['finland', 'finns', 'in', 'the', 'to', 'finnish', 'language', 'of', 'is', 'and']","['Finland speaks Finnish in Finland', 'The taxation of mining companies in Finland must be raised to the level of other European countries.', 'The position of the Swedish language in Finland should be the same as the position of the Finnish language in Sweden.']",finland - finns - in - the - to - finnish - language - of - is - and,0.93915310782201,False
31,Cell phones should be banned in schools to improve children's well-being,19,19_phones_cell_schools_mobile,"['phones', 'cell', 'schools', 'mobile', 'use', 'during', 'lesson', 'school', 'phone', 'childrens']","['Mobile phones should be collected from students in schools during the hours when mobile phones are not needed for teaching.', 'The use of cell phones must be decided in schools, not in parliament.', 'In schools, Cell Phones can be used during breaks, but during classes the focus is on studying and Cell Phones are only displayed when necessary.']",phones - cell - schools - mobile - use - during - lesson - school - phone - childrens,0.8515708156598483,False
32,The price of gasoline must be curbed so that everyone can afford to move.,0,0_taxation_the_be_tax,"['taxation', 'the', 'be', 'tax', 'income', 'of', 'to', 'should', 'and', 'must']","['Taxation must be reformed from income taxation to more consumption taxation', 'Taxation of capital should be increased and taxation of earned income should be lightened.', ""With the automation of production, the focus of taxation must be shifted from the taxation of employees' earned income to the taxation of companies and capital""]",taxation - the - be - tax - income - of - to - should - and - must,1.0,False
33,Housing is too expensive,0,0_taxation_the_be_tax,"['taxation', 'the', 'be', 'tax', 'income', 'of', 'to', 'should', 'and', 'must']","['Taxation must be reformed from income taxation to more consumption taxation', 'Taxation of capital should be increased and taxation of earned income should be lightened.', ""With the automation of production, the focus of taxation must be shifted from the taxation of employees' earned income to the taxation of companies and capital""]",taxation - the - be - tax - income - of - to - should - and - must,0.8765911888684018,False
34,Racism is still a problem in Finland,1,1_finland_finns_in_the,"['finland', 'finns', 'in', 'the', 'to', 'finnish', 'language', 'of', 'is', 'and']","['Finland speaks Finnish in Finland', 'The taxation of mining companies in Finland must be raised to the level of other European countries.', 'The position of the Swedish language in Finland should be the same as the position of the Finnish language in Sweden.']",finland - finns - in - the - to - finnish - language - of - is - and,1.0,False
35,Finland must do more to protect the Baltic Sea,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
36,Children's hobbies are too expensive,8,8_child_children_parents_hobbies,"['child', 'children', 'parents', 'hobbies', 'families', 'allowance', 'young', 'childrens', 'exercise', 'to']","['Child allowance should be waived and the money directed to services for families with children', 'Child allowance is for the children of good earners. Child allowance for the low-income is income and not an equal support for children. Scam..', 'Child benefits should not increase the more children there are, but the same child benefit for each child.']",child - children - parents - hobbies - families - allowance - young - childrens - exercise - to,1.0,False
37,The number of business subsidies harmful to the climate should be reduced (e.g. air transport),-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
38,Those with good incomes do not have to pay child benefits,8,8_child_children_parents_hobbies,"['child', 'children', 'parents', 'hobbies', 'families', 'allowance', 'young', 'childrens', 'exercise', 'to']","['Child allowance should be waived and the money directed to services for families with children', 'Child allowance is for the children of good earners. Child allowance for the low-income is income and not an equal support for children. Scam..', 'Child benefits should not increase the more children there are, but the same child benefit for each child.']",child - children - parents - hobbies - families - allowance - young - childrens - exercise - to,0.21656103638166638,False
39,The whole of Finland should be kept inhabited,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
40,"Conscription must apply to everyone, including women",9,9_gender_conscription_genders_women,"['gender', 'conscription', 'genders', 'women', 'men', 'are', 'service', 'be', 'two', 'sexual']","['There are two genders, i.e. Male and Female, but there are an indeterminate number of social, gender roles', 'Gender identity should not be used as a synonym for gender', 'Gender, gender role and gender identity are different things and should not be confused.']",gender - conscription - genders - women - men - are - service - be - two - sexual,1.0,False
41,"Even if all Finns could get a job, work-based immigration is needed",1,1_finland_finns_in_the,"['finland', 'finns', 'in', 'the', 'to', 'finnish', 'language', 'of', 'is', 'and']","['Finland speaks Finnish in Finland', 'The taxation of mining companies in Finland must be raised to the level of other European countries.', 'The position of the Swedish language in Finland should be the same as the position of the Finnish language in Sweden.']",finland - finns - in - the - to - finnish - language - of - is - and,0.40636692058021046,False
42,I get enough value for my tax money,0,0_taxation_the_be_tax,"['taxation', 'the', 'be', 'tax', 'income', 'of', 'to', 'should', 'and', 'must']","['Taxation must be reformed from income taxation to more consumption taxation', 'Taxation of capital should be increased and taxation of earned income should be lightened.', ""With the automation of production, the focus of taxation must be shifted from the taxation of employees' earned income to the taxation of companies and capital""]",taxation - the - be - tax - income - of - to - should - and - must,0.7396504922802397,False
43,I support drug use rooms if they reduce drug deaths,13,13_drug_use_cannabis_drugs,"['drug', 'use', 'cannabis', 'drugs', 'rooms', 'legalized', 'users', 'should', 'be', 'treatment']","['The criminalization of drug use should be removed', 'I support drug use rooms if they reduce drug deaths', 'I support drug use rooms, if they reduce the disorderly use of drug users in public places.']",drug - use - cannabis - drugs - rooms - legalized - users - should - be - treatment,0.3963436517034685,True
44,The salaries of early childhood educators must be increased in order to get enough staff for kindergartens,4,4_school_students_education_schools,"['school', 'students', 'education', 'schools', 'be', 'student', 'support', 'bullying', 'should', 'the']","['Primary school class sizes should be reduced so that young people have enough adult support and presence at school.', ""A bully's school change only recycles the problem to another school. Instead, learning support services and special education must be increased."", 'School bullying should be increased in schools.']",school - students - education - schools - be - student - support - bullying - should - the,1.0,False
45,I don't dare to participate in the social debate under my own name,2,2_media_the_of_democracy,"['media', 'the', 'of', 'democracy', 'to', 'and', 'is', 'should', 'in', 'not']","['I feel that it is difficult to discuss things in a relevant way on social media without fear of intentional misunderstanding', 'In elections, you should vote for things, not people.', ""Does the media have too much power to control people's opinions""]",media - the - of - democracy - to - and - is - should - in - not,1.0,False
46,I feel that I represent the minority,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
47,I have a university degree,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
48,I am a member of the party,2,2_media_the_of_democracy,"['media', 'the', 'of', 'democracy', 'to', 'and', 'is', 'should', 'in', 'not']","['I feel that it is difficult to discuss things in a relevant way on social media without fear of intentional misunderstanding', 'In elections, you should vote for things, not people.', ""Does the media have too much power to control people's opinions""]",media - the - of - democracy - to - and - is - should - in - not,0.6802722295083722,False
49,I voted in the last parliamentary election,2,2_media_the_of_democracy,"['media', 'the', 'of', 'democracy', 'to', 'and', 'is', 'should', 'in', 'not']","['I feel that it is difficult to discuss things in a relevant way on social media without fear of intentional misunderstanding', 'In elections, you should vote for things, not people.', ""Does the media have too much power to control people's opinions""]",media - the - of - democracy - to - and - is - should - in - not,1.0,False
50,I am under 35 years old,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
51,"I live in a city with over 50,000 inhabitants",-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
52,I feel that I do better financially than others,11,11_society_wellbeing_life_people,"['society', 'wellbeing', 'life', 'people', 'is', 'future', 'good', 'of', 'the', 'better']","['It is more important to take care of the weakest in society than to take care of the interests of the highest earners', 'In today\'s society, where one machine does the work of a thousand people, it is crazy to think that everyone is obliged to ""support themselves"".', 'Society should work so that as many people as possible are good. And not on the weakest terms.']",society - wellbeing - life - people - is - future - good - of - the - better,0.920286253386426,False
53,Everyone has a responsibility to ensure respectful public discourse,2,2_media_the_of_democracy,"['media', 'the', 'of', 'democracy', 'to', 'and', 'is', 'should', 'in', 'not']","['I feel that it is difficult to discuss things in a relevant way on social media without fear of intentional misunderstanding', 'In elections, you should vote for things, not people.', ""Does the media have too much power to control people's opinions""]",media - the - of - democracy - to - and - is - should - in - not,0.8340680598942126,False
54,"Public discussion has become difficult, you can't say anything without offending others",2,2_media_the_of_democracy,"['media', 'the', 'of', 'democracy', 'to', 'and', 'is', 'should', 'in', 'not']","['I feel that it is difficult to discuss things in a relevant way on social media without fear of intentional misunderstanding', 'In elections, you should vote for things, not people.', ""Does the media have too much power to control people's opinions""]",media - the - of - democracy - to - and - is - should - in - not,1.0,False
55,I feel that nothing can be said anymore without offending others,2,2_media_the_of_democracy,"['media', 'the', 'of', 'democracy', 'to', 'and', 'is', 'should', 'in', 'not']","['I feel that it is difficult to discuss things in a relevant way on social media without fear of intentional misunderstanding', 'In elections, you should vote for things, not people.', ""Does the media have too much power to control people's opinions""]",media - the - of - democracy - to - and - is - should - in - not,1.0,False
56,The other Nordic countries do not have a sustainability deficit because of immigration.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
57,I think racists should not be allowed into government.,7,7_racism_immigration_immigrants_country,"['racism', 'immigration', 'immigrants', 'country', 'asylum', 'be', 'should', 'racist', 'with', 'is']","['When discussing immigration, work-based immigration and humanitarian immigration should be more clearly distinguished from each other.', 'Racism must be addressed.', 'When a government accepts racism as an instrument of its policy, it is as racist as a party whose goal is racism.']",racism - immigration - immigrants - country - asylum - be - should - racist - with - is,0.2966378307406654,False
58,Social media weakens well-being,2,2_media_the_of_democracy,"['media', 'the', 'of', 'democracy', 'to', 'and', 'is', 'should', 'in', 'not']","['I feel that it is difficult to discuss things in a relevant way on social media without fear of intentional misunderstanding', 'In elections, you should vote for things, not people.', ""Does the media have too much power to control people's opinions""]",media - the - of - democracy - to - and - is - should - in - not,0.8341230076425795,False
59,The state should support housing construction and public transport in order to lower their price and tighten the social structure,0,0_taxation_the_be_tax,"['taxation', 'the', 'be', 'tax', 'income', 'of', 'to', 'should', 'and', 'must']","['Taxation must be reformed from income taxation to more consumption taxation', 'Taxation of capital should be increased and taxation of earned income should be lightened.', ""With the automation of production, the focus of taxation must be shifted from the taxation of employees' earned income to the taxation of companies and capital""]",taxation - the - be - tax - income - of - to - should - and - must,0.53790506530883,False
60,The teaching of one's own religion should be replaced in elementary school with knowledge of the outlook on life common to all.,14,14_religion_religious_teaching_church,"['religion', 'religious', 'teaching', 'church', 'religions', 'common', 'schools', 'outlook', 'bible', 'separated']","[""The teaching of one's own religion should be replaced in elementary school with knowledge of the outlook on life common to all."", 'It is more than high time to reform the teaching of religion in schools into a common teaching of religion for all.', 'Religious teaching common to everyone without an identity card ev.lut. with an emphasis on religion. Let each religion take care of its own members.']",religion - religious - teaching - church - religions - common - schools - outlook - bible - separated,1.0,True
61,"Finland must increase investments in education, research, development and innovation in order to improve competitiveness",-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
62,Invisible beings should not be allowed to influence political decisions,2,2_media_the_of_democracy,"['media', 'the', 'of', 'democracy', 'to', 'and', 'is', 'should', 'in', 'not']","['I feel that it is difficult to discuss things in a relevant way on social media without fear of intentional misunderstanding', 'In elections, you should vote for things, not people.', ""Does the media have too much power to control people's opinions""]",media - the - of - democracy - to - and - is - should - in - not,0.4104045593556353,False
63,Internet bubbles (vocal people offended by everything and silencers of opposing opinions) spoil the development of society.,2,2_media_the_of_democracy,"['media', 'the', 'of', 'democracy', 'to', 'and', 'is', 'should', 'in', 'not']","['I feel that it is difficult to discuss things in a relevant way on social media without fear of intentional misunderstanding', 'In elections, you should vote for things, not people.', ""Does the media have too much power to control people's opinions""]",media - the - of - democracy - to - and - is - should - in - not,0.9263803425516721,False
64,Too many Finns live on subsidies.,1,1_finland_finns_in_the,"['finland', 'finns', 'in', 'the', 'to', 'finnish', 'language', 'of', 'is', 'and']","['Finland speaks Finnish in Finland', 'The taxation of mining companies in Finland must be raised to the level of other European countries.', 'The position of the Swedish language in Finland should be the same as the position of the Finnish language in Sweden.']",finland - finns - in - the - to - finnish - language - of - is - and,0.6510118842612301,False
65,"In order to combat climate change, more nuclear power should be built in Finland",-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
