,topic,topic_en,txt,txt_en,is_seed,is_meta,agree_count,disagree_count,pass_count,count
17,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"On väärin, että läheisen kuoleman jälkeen byrokratia voi jatkua viikkoja, kun surevan pitäisi pystyä keskittymään suruun.","It is wrong that after the death of a loved one, bureaucracy can continue for weeks, when the bereaved should be able to focus on grief.",1,0,255.0,8.0,33.0,296.0
18,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"Yksityiset palveluntarjoajat rahastavat liikaa ihmisiä, jotka ovat haavoittuvimmillaan läheisen menetyksen jälkeen.",Private providers are overfunding people who are most vulnerable after the loss of a loved one.,1,0,174.0,25.0,94.0,293.0
19,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"Pelkään että isot yritykset jyräävät pienet, jos läheisen kuolemaan liittyviä palveluita yhdistetään yhdeksi kokonaisuudeksi.",I'm afraid that the big companies will crush the small ones if the services related to the death of a loved one are combined into one entity.,1,0,119.0,59.0,118.0,296.0
20,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"Ihan sama, palveleeko minua tekoäly, kunhan edesmenneen asioiden hoidosta tulee helppoa ja nopeaa.","It doesn't matter if artificial intelligence serves me, as long as it becomes easy and fast to take care of the affairs of the deceased.",1,0,179.0,98.0,47.0,324.0
21,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Läheisen kuolemaan liittyvien palveluiden on oltava yhdenvertaisia riippumatta uskonnosta tai elämänkatsomuksesta.,Services related to the death of a loved one must be equal regardless of religion or outlook on life.,1,0,265.0,10.0,18.0,293.0
22,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"Olisi hyvä jos valmisteluita ja valtuutuksia voisi hoitaa mahdollisimman paljon etukäteen, eikä vasta sitten kun suru on suurin.","It would be good if preparations and authorizations could be handled as much as possible in advance, and not only when the grief is greatest.",0,0,240.0,6.0,45.0,291.0
23,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"Saan selkokielistä ohjeistusta siitä, miten muistisairaan omaisen kanssa kannattaa toimia läheisen kuoltua",I receive instructions in plain language on how to act with a memory-diseased relative after the death of a loved one,0,0,30.0,83.0,147.0,260.0
24,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Minulla on vähän tietoa byrokratian vaatimuksista,I have little knowledge of the requirements of bureaucracy,0,0,119.0,112.0,63.0,294.0
25,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"Kuolemaan liittyen oltava selkeämmät ohjeistukset, jotka on koottu yhteen paikkaan?","Regarding death, should there be clearer instructions that are gathered in one place?",0,0,247.0,7.0,30.0,284.0
26,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Läheisen kuoltua olisin tarvinnut tukihenkilön  joka olisi voinut kulkea alussa rinnalla?,"After the death of a loved one, I would have needed a support person who could have accompanied me in the beginning?",0,0,138.0,56.0,93.0,287.0
27,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"Palvelujen tarjoajien tietoa ei löydy, joten toivotaan heistä listaa josta näkyy hinnat ja palvelun laatu","I can't find any information on the service providers, so we hope for a list of them that shows the prices and service quality",0,0,192.0,9.0,78.0,279.0
28,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Julkisella puolella olisi hyvä saada kriisiapua ja tukihenkilöä auttamaan kuolemaan liittyvissä prosesseissa?,"On the public side, it would be good to have crisis help and a support person to help with processes related to death?",0,0,190.0,20.0,54.0,264.0
29,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Perukirjaan riittäisi verottajalta saadut tiedot kiinteistöjen arvosta?,Would the information received from the taxman on the value of the real estate be sufficient for the deed?,0,0,168.0,33.0,64.0,265.0
30,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Tarvitaanko digitaalisen palvelun käyttöön tukihenkilöä/avustajaa?,Is a support person/assistant needed to use the digital service?,0,0,108.0,37.0,111.0,256.0
31,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Lasten tarpeet ja osallisuus ohitetaan tavallisesti kuolemaan liittyvissä järjestelyissä,Children's needs and participation are usually ignored in arrangements related to death,0,0,109.0,24.0,118.0,251.0
32,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Pankkien toiminnassa kuolemaan liittyen on paljon epäammattimaisuutta sekä tietämättömyyttä,There is a lot of unprofessionalism and ignorance in the banks' operations regarding death,0,0,157.0,38.0,68.0,263.0
33,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"Kuoleman vuoksi tarvitset erikaisia palveluja mm. perukirjan tekoa varten, onko niitä helppo löytää ja verrata palvelujen laatua ja hintoja?","Due to death, you need different services, e.g. for making a charter, are they easy to find and compare the quality and prices of the services?",0,0,34.0,110.0,104.0,248.0
34,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"Kuolema on voinut järkyttää omaista niin, että hän ei ole kyvykäs hoitamaan asioita yksin ilman apua. Tämä koskee myös nuoria ja työikäisiä omaisia.",The death may have shocked the family member so much that he is not able to manage things alone without help. This also applies to young and working-age relatives.,0,0,241.0,3.0,20.0,264.0
35,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Virkatodistuksen saantiin voi kulua kohtuuttomasti aikaa ja virkatodistuksia tarvitaan joka paikkaan kp:n asioiden hoitoon. Kohtuutonta.,"Obtaining a certificate of employment can take an unreasonable amount of time, and certificates of employment are needed everywhere to handle the affairs of the Ministry of Health. Unreasonable.",0,0,219.0,21.0,28.0,268.0
36,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Alaikäisten lasten asioissa neuvonta oli täysin riittämätöntä.,"In the case of minor children, counseling was completely inadequate.",0,0,83.0,9.0,153.0,245.0
37,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Sukuselvitys tuli saada yhdeltä luukulta eli DVV:n ja seurakuntien rekisterit tulisi yhdistää.,"Family verification had to be obtained from one place, i.e. DVV and parish registers should be combined.",0,0,230.0,7.0,18.0,255.0
38,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Pankkien tulisi lähettää automaattisesti vainajan kuolinpäivän pankkitilien saldot ja tiedot muusta omaisuudesta vainajan viimeiseen kotiosoitteeseen.,Banks should automatically send the deceased's bank account balances and information about other assets on the date of death to the deceased's last home address.,0,0,213.0,19.0,29.0,261.0
39,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"Perintökaaren uudistaminen siten, että etenkin aviopuolisoiden kuolinpesien osakkuus olisi selkeästi määritelty lain tasolla.",Reforming the inheritance circle in such a way that especially the participation in the estates of spouses would be clearly defined at the level of the law.,0,0,151.0,7.0,90.0,248.0
40,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"Omaisilta vaaditaan ajantasaisuutta eri toiminnoissa, mutta DVV:n vastaavat voivat viivästyä ilman mitään sanktioita. (Esim. perunkirjaan liittyvät asiat)","Relatives are required to be up-to-date in various functions, but DVV's equivalents can be delayed without any sanctions. (E.g. matters related to the certificate of incorporation)",0,0,151.0,5.0,55.0,211.0
41,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Avolesken oikeudet hoitaa edesmenneen puolisonsa / kuolinpesän asioita saatava samanarvoisiksi kiun aviopuolison,The rights of a cohabitant to manage the affairs of his deceased spouse / estate should be made equal to that of his spouse,0,0,136.0,12.0,56.0,204.0
42,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Alaikäisen lapsen edunvalvonta on kohtuuttoman raskasta surevalle,Guardianship of a minor child is unreasonably burdensome for the bereaved,0,0,105.0,9.0,89.0,203.0
43,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"Voisiko elossaolotodistukset lakkautta? Luulisi, että digiaikana näkyy automaattisesti ja lähes reaaliajassa, onko ihminen elossa vai ei.",Could certificates of survival be abolished? You would think that in the digital age it is automatically and almost in real time whether a person is alive or not.,0,0,151.0,8.0,44.0,203.0
44,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Henkivakuutuksiin sekä muihin vastaaviin palveluihin tulisi kuulua laajemmat tukipalvelut taloudellisen kompensaation lisäksi.,Life insurance and other similar services should include broader support services in addition to financial compensation.,0,0,123.0,6.0,76.0,205.0
45,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"Jos leski huolehtii omista lapsistaan ja on edunvalvojana, niin työmäärä on aivan liian suuri edunvalvonnan tekemisessä ja raportoinnissa.","If a widow takes care of her own children and is a guardian, the amount of work involved in guardianship and reporting is far too great.",0,0,115.0,8.0,80.0,203.0
46,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Perunkirjan jättöaika useissa tapauksissa liian lyhyt. 6kk olisi useimmissa tapauksissa riittävä. Ensimmäinen 3kk on kuoleman jälkeistä shokkiaikaa,"In many cases, the filing deadline is too short. 6 months would be sufficient in most cases. The first 3 months is a period of shock after death",0,0,167.0,23.0,27.0,217.0
47,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Omaisen laatima tietopankki asioista ja toivomuksista olisi tarpeellinen,An information bank of issues and wishes prepared by a relative would be necessary,0,0,139.0,7.0,60.0,206.0
48,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,On kohtuutonta että kuolinpesä on jaettava puolison kuoltua. Lakia perinnönjaosta pitäisi muuttaa. Eihän normaalin perheenkään omaisuutta jaeta,It is unreasonable that the estate has to be distributed after the death of the spouse. The law on inheritance should be changed. Even a normal family's property is not divided,0,0,99.0,41.0,69.0,209.0
49,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"Yhden valtakirjan tulisi toimia kaikille prosessiin osapuolille, nyt jokainen toimija (pankki, vakuutusyhtiö, verottaja yms.)tarvitsee oman.","One power of attorney should work for all parties to the process, now each actor (bank, insurance company, taxman, etc.) needs their own.",0,0,200.0,3.0,10.0,213.0
50,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"Pankilla tulisi olla nimetty oma asioiden hoitaja, johon voi olla yhteydessä kuolinpesän asiointia koskevissa asioissa","The bank should have its own case manager, who can be contacted in matters concerning the estate",0,0,158.0,7.0,44.0,209.0
51,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Kaikki tieto pitää itse osata etsiä ja vieläpä tietää mistä etsiä. Olisi hyvä jos olisi nettisivut missä olisi laajasti koottu kaikki mahdollinen tieto miten tulee toimia ja mistä minkäkin tiedon löytää.,You have to be able to find all the information yourself and even know where to look. It would be good if there was a website where all possible information on how to act and where to find any information would be gathered.,0,0,155.0,3.0,16.0,174.0
52,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Alaikäisen ja lesken kuolinpesän asioihin saisi tulla automaattisesti lakimies perunkirjoituksiin ja edunvalvoja,The affairs of the estate of minors and widows should automatically include a lawyer for notarizations and a trustee,0,0,66.0,23.0,73.0,162.0
53,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Lähiomaisen tulisi heti/automaattisesti saada oikeus asioida kuolinpesän asioissa pankissa,The next of kin should immediately/automatically get the right to deal with estate matters at the bank,0,0,127.0,24.0,24.0,175.0
54,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Tietoa MUISTA kuin kirkollisesti järjestettävistä hautajaisista pitäisi löytyä helpommin,It should be easier to find information about funerals OTHER than church ones,0,0,88.0,7.0,64.0,159.0
55,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Virastojen tulisi suhtautua surevaan ymmärtäväisemmin,Agencies should treat the bereaved with more understanding,0,0,97.0,15.0,56.0,168.0
56,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,On liian vaikeaa saada taloudellista tukea kun läheinen kuolee,It is too difficult to get financial support when a loved one dies,0,0,79.0,6.0,77.0,162.0
57,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Yksinkertaiset perintövero asiat pitäisi käsitellä Verovirastossa nopeammin,Simple inheritance tax matters should be processed faster at the Tax Office,0,0,124.0,4.0,41.0,169.0
58,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Surevan pitäisi automaattisesti saada vapaata työpaikaltaan ainakin viikko,The bereaved person should automatically get at least a week off from their workplace,0,0,107.0,21.0,41.0,169.0
59,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Vainajan tuhkaamiseen pitää kehittää myös KYLMÄTUHKAUS versiota.,"For the cremation of the deceased, a COLD CREMATION version must also be developed.",0,0,19.0,10.0,125.0,154.0
60,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Kaikki kuolinpesän paperisotimiset pitää voida yhdistää ja jakaa tieto kaikille eri virastoille ja tahoille,It must be possible to combine all the paperwork of the estate and share the information with all different agencies and entities,0,0,154.0,3.0,16.0,173.0
61,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Kuolemisesta ilmoittaminen eri tahoille pitää olla helpompaa,Reporting a death to different parties should be easier,0,0,141.0,4.0,23.0,168.0
62,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Hautaustoimistojen vertaileminen pitää olla helpompaa,Comparing funeral homes should be easier,0,0,96.0,9.0,55.0,160.0
63,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Verotukseen liittyvistä asioista pitäisi helpommin saada tietoa,It should be easier to get information on matters related to taxation,0,0,129.0,7.0,34.0,170.0
64,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Lesken omaisuustietojen levittely perunkirjassa pitää pystyä estämään.,It must be possible to prevent the spread of widow's property information in the land register.,0,0,78.0,23.0,64.0,165.0
65,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Pankkitunnukset pitää riittää valtakirjaksi hoitaa asioita,Bank IDs should be sufficient as a power of attorney to handle business,0,0,98.0,44.0,34.0,176.0
66,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Elossaolotodistuksen saa helposti ulkomaisia viranomaisia varten.,You can easily get a certificate of survival for foreign authorities.,0,0,13.0,17.0,124.0,154.0
67,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,DVV voisi tehdä lasten edunvalvojalle (esim leskelle) esitäytetyn vuosiselvityksen. Vähän niin kuin verovirastokin.,DVV could make a pre-filled annual statement for the children's guardian (e.g. a widow). A bit like the tax office.,0,0,114.0,4.0,43.0,161.0
68,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Tukipalveluiden tulisi olla valtakunnallisesti joka paikassa samat.,Support services should be the same everywhere nationwide.,0,0,134.0,1.0,32.0,167.0
69,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"Leskelle pitäisi lähettää kotiin kirje, jossa kerrotaan missä on tietoa hoidettavista asioista linkkeineen.","A letter should be sent home to the widow, which tells where there is information about matters to be taken care of with links.",0,0,138.0,8.0,25.0,171.0
70,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"Sukuselvitys pitäisi tulla automaattisesti vainajan viimeisimpään osoitteeseen, ilman erillistä tilausta. Laajemmat lisätilaukset erikseen.","Family verification should come automatically to the last address of the deceased, without a separate order. Larger additional orders separately.",0,0,144.0,11.0,17.0,172.0
71,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"Alaikäisten pesänosakkaiden osalta, tulisi olla selkeämmät ohjeet yhdessä paikassa.","Regarding minor co-owners, there should be clearer instructions in one place.",0,0,117.0,2.0,47.0,166.0
72,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Kaupunkien/kuntien välillä on eroja miten paljon läheinen saa heti akuutisti apua,There are differences between cities/municipalities in how much acute help a loved one receives right away,0,0,77.0,2.0,78.0,157.0
73,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Kuoleman hoitamiseen liittyvät asiat pitäisi liittää osaksi kansallista huoltovarmuutta. Kokonaisturvallisuutta omaisille.,Matters related to the treatment of death should be included as part of the national security of supply. Total security for relatives.,0,0,88.0,16.0,56.0,160.0
74,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Sain tärkeimmät toimintamallit tiedoksi hautausurakoitsijalta.,I learned about the most important operating models from the funeral contractor.,0,0,54.0,39.0,64.0,157.0
75,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Alaikäisten lasten asioiden hoitamiseen pitäisi olla oma yhteyshenkilö DVV:llä,DVV should have its own contact person to handle the affairs of minor children,0,0,105.0,3.0,58.0,166.0
76,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Perunkirjan tekeminen on kohtuuttoman hankalaa ja KALLISTA.,Making a certificate of incorporation is unreasonably difficult and EXPENSIVE.,0,0,113.0,20.0,32.0,165.0
77,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"Vainajan nimissä olevien sopimusten lakkauttaminen oli vaikeaa, kun kuolemaan liittyvää osaajaa ei ollut toimittajan puolella.",Termination of contracts in the name of the deceased was difficult when there was no death-related expert on the supplier's side.,0,0,99.0,7.0,58.0,164.0
78,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Pankit ja muut tahot pitäisi velvoittaa hyväksymään sähköisesti allekirjoitetut (mielellään vakioidut) valtakirjat kuolinpesän osakkailta.,Banks and other entities should be obliged to accept electronically signed (preferably standardized) powers of attorney from the shareholders of the estate.,0,0,149.0,3.0,7.0,159.0
79,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"Peru- ja jakokirja tulisi voida laatia sähköisesti, eikä kuolinpesän osakkaiden tarvitse allekirjoittaa papereita tai olla yhtä aikaa läsnä.","The deed of revocation and distribution should be able to be prepared electronically, and the members of the estate do not need to sign papers or be present at the same time.",0,0,130.0,13.0,14.0,157.0
80,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Mahdollisuus saada matalakorkoista lainaa kuolinpesän kulujen hoitamiseksi olisi suuri apu.,Being able to get a low-interest loan to handle estate expenses would be a big help.,0,0,93.0,12.0,53.0,158.0
81,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Pesänselvittäjän määräyksistä tulisi olla kaikkien tuomioistuinten ja viranomaisten käytössä oleva rekisteri.,There should be a register of the executor's orders available to all courts and authorities.,0,0,98.0,6.0,49.0,153.0
82,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Testamenttirekisteri olisi varmin tapa vainajan viimeisen tahdon toteutumisen varmistamiseksi.,The register of wills would be the surest way to ensure the fulfillment of the deceased's last will.,0,0,122.0,2.0,30.0,154.0
83,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"Kirkon ja DVV:n henkilötietoasiakirjoilla tulisi olla sama nimi, nyt yksi on virkatodistus ja toinen todistus väestötietojärjestelmästä","The church's and DVV's personal information documents should have the same name, now one is an official certificate and the other is a certificate from the population information system",0,0,141.0,1.0,14.0,156.0
84,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"Asioiden hoidossa tarvittaviin puhelinpalveluihin, kuten seurakuntaan, joutuu jonottamaan liian pitkään.","You have to wait too long for the telephone services needed to take care of things, such as the parish.",0,0,58.0,13.0,56.0,127.0
85,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"Edunvalvontavaltuutetun pitäisi voida maksaa vainajan peruslaskut myös kuoleman jälkeen, kun oikeus tähän on kirjattu valtuutukseen ja omat pankkitunnukset tähän ovat käytössä.","The trustee should be able to pay the deceased's basic bills even after death, when the right to do so is recorded in the authorization and their own bank credentials are used for this.",0,0,118.0,4.0,14.0,136.0
86,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Suomessa asuneen ulkomaan kansalaisen kuoleman jälkeen tarvittavista sukuselvityksistä ym. ei ole kunnon ohjeistusta millään taholla.,"Regarding family records, etc., required after the death of a foreign citizen who lived in Finland. there is no proper guidance from any body.",0,0,36.0,0.0,85.0,121.0
