,txt,txt_en,is_seed,is_meta
19,"Ottamalla dialogiset taidot koulujen opetussuunnitelmaan, kuntien työperehdytykseen yms.","By including dialogic skills in the school curriculum, municipal work orientation, etc.",0,0
20,Joitain oikeuksia täytyy työntekijältäkin olla. Ei olla orjia.,The employee must also have some rights. There are no slaves.,0,0
21,Kulutusluotot ovat kansantalouden näkökulmasta yksiselitteisen haitallisia.,Consumer loans are unequivocally harmful from the point of view of the national economy.,0,0
22,Perustoimeentulotuki tulisi korvata negatiivisella tuloverolla.,Basic income support should be replaced by a negative income tax.,0,0
23,"Tiesin, että 5. sukupolven sodankäynti hyväksikäyttää mm. ihmisen kognitiivisia ennakkomieltymyksiä & dopamiinikoukutuksia (esm. skrollaus).",I knew that 5th generation warfare exploits e.g. human cognitive preferences & dopamine addictions (e.g. scrolling).,0,0
24,Kaikille aloille on järkevää kouluttaa juuri sopiva määrä työttömiä.,It makes sense to train just the right number of unemployed people for all sectors.,0,0
25,Erityisen tuen tarpeessa olevan omaisten hoitamista kotona pitää tukea paremmin.,Caring for relatives in need of special support at home needs to be better supported.,0,0
26,Kirkko pitäisi erottaa valtiosta ja Ylen hartausohjelmat siirtää omille kanavilleen.,The church should be separated from the state and Yle's devotional programs should be transferred to their own channels.,0,0
27,Luontokato pitää estää!,Deforestation must be prevented!,0,0
28,Toisten ihmisten kunnioittamista pitäisi opettaa lapsesta saakka.,Respect for other people should be taught from childhood.,0,0
29,Turkistarhaus pitäisi kieltää,Fur farming should be banned,1,0
30,Suomea kehitetään liikaa kaupunkilaisten ehdoilla,Finland is being developed too much on the terms of city dwellers,1,0
31,Kännykät tulisi kieltää kouluissa lasten hyvinvoinnin parantamiseksi,Cell phones should be banned in schools to improve children's well-being,1,0
32,"Bensan hintaa tulee hillitä, jotta kaikilla on varaa liikkua.",The price of gasoline must be curbed so that everyone can afford to move.,1,0
33,Asuminen on liian kallista,Housing is too expensive,1,0
34,Rasismi on yhä ongelma Suomessa,Racism is still a problem in Finland,1,0
35,Suomen pitää tehdä enemmän Itämeren suojelemiseksi,Finland must do more to protect the Baltic Sea,1,0
36,Lasten harrastukset ovat liian kalliita,Children's hobbies are too expensive,1,0
37,Ilmaston kannalta haitallisten yritystukien määrää pitäisi vähentää (esim. lentoliikenne),The number of business subsidies harmful to the climate should be reduced (e.g. air transport),1,0
38,Hyvätuloisille ei tarvitse maksaa lapsilisiä,Those with good incomes do not have to pay child benefits,1,0
39,Koko Suomi tulee pitää asuttuna,The whole of Finland should be kept inhabited,1,0
40,"Asevelvollisuuden pitää koskea kaikkia, myös naisia","Conscription must apply to everyone, including women",1,0
41,"Vaikka kaikki suomalaiset saataisiin töihin, tarvitaan työperäistä maahanmuuttoa","Even if all Finns could get a job, work-based immigration is needed",1,0
42,Saan verorahoilleni tarpeeksi vastinetta,I get enough value for my tax money,1,0
43,"Kannatan huumeiden käyttöhuoneita, mikäli ne vähentävät huumekuolemia",I support drug use rooms if they reduce drug deaths,1,0
44,"Varhaiskasvattajien palkkoja pitää nostaa, jotta päiväkoteihin saadaan tarpeeksi henkilökuntaa",The salaries of early childhood educators must be increased in order to get enough staff for kindergartens,1,0
45,En uskalla osallistua yhteiskunnalliseen keskusteluun omalla nimelläni,I don't dare to participate in the social debate under my own name,1,0
46,Koen edustavani vähemmistöä,I feel that I represent the minority,1,1
47,Minulla on korkeakoulututkinto,I have a university degree,1,1
48,Olen puolueen jäsen,I am a member of the party,1,1
49,Äänestin viime eduskuntavaaleissa,I voted in the last parliamentary election,1,1
50,Olen alle 35-vuotias,I am under 35 years old,1,1
51,Asun yli 50 000 asukkaan kaupungissa,"I live in a city with over 50,000 inhabitants",1,1
52,"Koen, että pärjään taloudellisesti paremmin kuin muut",I feel that I do better financially than others,1,1
53,Jokaisella on vastuu huolehtia kunnioittavasta julkisesta keskustelusta,Everyone has a responsibility to ensure respectful public discourse,1,0
54,"Julkinen keskustelu on mennyt vaikeaksi,  mitään ei saa sanoa loukkaamatta toisia","Public discussion has become difficult, you can't say anything without offending others",1,0
55,"Koen, että mitään ei voi enää sanoa loukkaamatta toisia",I feel that nothing can be said anymore without offending others,1,0
56,"Muissa pohjoismaissa ei ole kestävyysvajetta, koska maahanmuuttoa.",The other Nordic countries do not have a sustainability deficit because of immigration.,0,0
57,Mielestäni rasisteja ei pitäisi päästää hallitukseen.,I think racists should not be allowed into government.,0,0
58,Sosiaalinen media heikentää hyvinvointia,Social media weakens well-being,0,0
59,Valtion tulee tukea asuntorakentamista ja joukkoliikennettä niiden hinnan alentamiseksi ja yhteiskuntarakenteen tiivistämiseksi,The state should support housing construction and public transport in order to lower their price and tighten the social structure,0,0
60,Oman uskonnon opetus tulisi korvata peruskoulussa kaikille yhteisellä elämänkatsomustiedolla.,The teaching of one's own religion should be replaced in elementary school with knowledge of the outlook on life common to all.,0,0
61,"Suomen on lisättävä investointeja opetukseen, tutkimukseen, kehitykseen ja innovaatioihin kilpailukyvyn parantamiseksi","Finland must increase investments in education, research, development and innovation in order to improve competitiveness",0,0
62,Näkymättömien olentojen ei pitäisi antaa vaikuttaa poliittisiin päätöksiin,Invisible beings should not be allowed to influence political decisions,0,0
63,Internetin kuplat (äänekkäät kaikesta loukkaantujat ja vastakkaisen mielipiteen hiljentäjät) pilaavat yhteiskunnan kehityksen.,Internet bubbles (vocal people offended by everything and silencers of opposing opinions) spoil the development of society.,0,0
64,Liian suuri osa suomalaista elää tukien varassa.,Too many Finns live on subsidies.,0,0
65,Ilmastonmuutoksen torjumiseksi Suomeen tulisi rakentaa lisää ydinvoimaa,"In order to combat climate change, more nuclear power should be built in Finland",0,0
66,Suomen äänen pitäisi kuulua paremmin EUssa.,My Finnish voice should be heard better in the EU.,0,0
67,Etujärjestöt jarruttavat Suomen uusiutumista.,Interest organizations are holding back Finland's renewal.,0,0
68,Suomen pitäisi panostaa ulkomaisen työvoiman houkutteluun huomattavasti enemmän,Finland should invest significantly more in attracting foreign labor,0,0
69,"Löydän verkosta tarvitsemani arjen julkiset palvelut, ja osaan myös käyttää niitä.","I can find the everyday public services I need online, and I also know how to use them.",0,0
70,Perustulo takaisi jokaiselle ihmisarvoisen elämän ja osallistumisen yhteiskunnan toimintaan,A basic income would guarantee everyone a dignified life and participation in society,0,0
71,"Jos julkisia palveluita lisätään, pitää samalla uskaltaa korottaa veroja.","If public services are increased, you must dare to raise taxes at the same time.",0,0
72,"Porojen määrää tulisi vähentää alueilla, jotka kärsivät ylilaidunnuksesta.",The number of reindeer should be reduced in areas that suffer from overgrazing.,0,0
73,Saamelaiskäräjälaki tulisi hyväksyä viimeisimmän hallituksen esityksen mukaisesti.,The Sami district law should be approved in accordance with the latest government proposal.,0,0
74,Suomen hiilineutraaliustavoitteesta on pidettävä kiinni,Finland's goal of carbon neutrality must be adhered to,0,0
75,Suomen tulee houkutella lisää ulkomaisia opiskelijoita ja heitä jäämään maahan valmistumisen jälkeen,Finland should attract more foreign students and have them stay in the country after graduation,0,0
76,Verotusta on uudistettava ansiotuloverotuksesta enemmän kuluttamisen verottamisen suuntaan,Taxation must be reformed from income taxation to more consumption taxation,0,0
77,Jo maksussa olevia työeläkkeitä pitäisi voida leikata tai muuten rajoittaa.,Employment pensions already being paid should be able to be cut or otherwise limited.,0,0
78,Työn verotus on liian ankaraa.,The taxation of work is too harsh.,0,0
79,Nuorisorikollisuuden rangaistuksia on kovennettava.,The punishments for juvenile delinquency must be toughened.,0,0
80,"Asumistuki on lopetettava täysin, koska se vääristää asuntomarkkinat.","Housing allowance must be stopped completely, because it distorts the housing market.",0,0
81,Suomen julkinen sektori on liian suuri ja taloudellisesti kestämätön.,Finland's public sector is too large and financially unsustainable.,0,0
82,Suomen tulee jatkaa Ukrainan tukemista kustannuksista riippumatta.,Finland should continue to support Ukraine regardless of the costs.,0,0
83,Yhteinen kansalaispalkka eri tukien tilalle - Kelan byrokratia romukoppaan.,A common citizen's salary instead of different subsidies - Kela's bureaucracy to the scrap heap.,0,0
84,Ydinvoimaa tulee rakentaa lisää (luotettava ja ympäristöystävällinen vaihtoehto).,More nuclear power must be built (a reliable and environmentally friendly alternative).,0,0
85,Huumekuolemia kannattaisi pyrkiä ehkäisemään painottamalla sanan voimaa pillerivoiman sijaan.,It would be worthwhile to try to prevent drug deaths by emphasizing the power of the word instead of the power of pills.,0,0
86,Autoritaarisuus on uhka yhteiskunnalle.,Authoritarianism is a threat to society.,0,0
87,Uskonnollisuus haittaa poliitikon arvostelukykyä.,Religiosity hinders a politician's judgment.,0,0
88,Rahapoliitikassa korkokeskustelun ja marginaalien kanssa samalle viivalle lainojen takaisinmaksuerien realiteetit.,"In monetary policy, the realities of loan repayment installments are on the same line as the interest rate discussion and margins.",0,0
89,Presidenttipelissä sananvuoroa ja näkyvyyttä kaikille kandidaateille riippumatta mahd. ennakoidusta lopputuloksesta ja mediaseksikkyydestä.,"In the presidential game, it is possible for all candidates to have a say and be seen regardless. about the expected outcome and media sexiness.",0,0
90,"Kännyköiden käytöstä on päätettävä kouluissa, ei eduskunnassa.","The use of cell phones must be decided in schools, not in parliament.",0,0
91,"Vaaleissa pitäisi äänestää asioista, ei ihmisistä.","In elections, you should vote for things, not people.",0,0
92,Ylikulutukseen perustuvaa talousjärjestelmäämme on muutettava.,Our economic system based on overconsumption must be changed.,0,0
93,Nykyinen hallitus on epäonnistunut,The current government has failed,0,0
94,Laitaoikeisto toimii Venäjän hyväksi.,The far right works for Russia.,0,0
95,Oikeistoa yhdistää itsekkyys.,The right-wing is united by selfishness.,0,0
96,On tärkeää irtisanoutua rasismista ja syrjinnästä.,It is important to renounce racism and discrimination.,0,0
97,Suomen tulee olla vahva jäsen NATO:ssa.,Finland must be a strong member of NATO.,0,0
98,"Verotus tulisi palauttaa 90-luvun alun tasolle, jolloin Suomi oli lähes velaton ja tasa-arvoisempi maa.","Taxation should be returned to the level of the early 90s, when Finland was almost debt-free and a more equal country.",0,0
99,Lemmikki- ja tuotantoeläimiin on sovellettava samoja hyvinvointisäädöksiä.,The same welfare regulations must apply to pets and farm animals.,0,0
100,Lakko-oikeus on todella tärkeä ja ydinarvo yhteiskunnassa.,The right to strike is really important and a core value in society.,0,0
101,Maan talous on saatava kuntoon pikaisesti.,The country's economy needs to be fixed quickly.,0,0
102,"Poliittinen keskustelu ja ilmapiiri on liian ""blokkiutunut""","The political debate and atmosphere is too ""blocked""",0,0
103,"Hallituksen olisi annettava tulo- ja menoerämuutokset samalla sekä euromääräisenä, että prosentuaalisesti.",The government should give the income and expenditure item changes at the same time both in euro and in percentage terms.,0,0
104,Toimiva lento- ja laivaliikenne ovat Suomen elinkeinoelämän kannalta elintärkeitä aloja.,Functional air and ship transport are vital sectors for Finnish business life.,0,0
105,Junatunnelin mahdollisuutta Viroon tulee selvittää edelleen (--> suora raideyhteys Keski-Eurooppaan).,The possibility of a train tunnel to Estonia should be further investigated (--> direct rail connection to Central Europe).,0,0
106,Kiinteä tasavero% kaikille kansalaisille ja kaikille tuloluokille - yksinkertaisuus on parasta.,Fixed flat tax % for all citizens and all income categories - simplicity is the best.,0,0
107,Mahd. kaivosteollisuuspäätöksissä on ennakoitava laajasti tulevaisuuden pohjavesivaikutukset ja koko Suomen vesihuolto elämän perustana.,"Possible in mining industry decisions, future groundwater impacts and the entire Finnish water supply as the basis of life must be widely anticipated.",0,0
108,Suuryrityksien voittoja pitäisi verottaa enemmän.,The profits of large companies should be taxed more.,0,0
109,Verotuksen painopistettä on siirrettävä ansiotuloverotuksesta yritysten verottamiseen.,The focus of taxation must be shifted from income taxation to corporate taxation.,0,0
110,Populismin nousu johtuu yhteiskuntaluokkien etääntymisestä toisistaan.,The rise of populism is due to the distancing of social classes from each other.,0,0
111,"Suurin osa äänestäjistä ei ymmärrä, kuinka valtiontalous toimii.",Most voters do not understand how the state economy works.,0,0
112,Palkalla pitää voida elää kohtuullisesti. Suomi tarvitsee hyvän minimipalkan. 2/3 mediaani- tai keskipalkasta (kumpi tahansa korkeampi).,You have to be able to live reasonably on your salary. Finland needs a good minimum wage. 2/3 of the median or average salary (whichever is higher).,0,0
113,Lentopolttoaineen verotus tulisi olla moninkertainen muihin haittaveroihin nähden. Lentämisen tuet tulisi lakkauttaa.,Aviation fuel taxation should be multiple times compared to other negative taxes. Subsidies for flying should be abolished.,0,0
114,Valtion tuottavaa omaisuutta ei pitäisi myydä budjettivajeen paikkaamiseksi.,The state's productive assets should not be sold to cover the budget deficit.,0,0
115,"Verorahoilla kustannetaan paljon hyvää koulutuksesta terveydenhuoltoon, imfrastruktuuriin, poliisiin ja pvn toimintaan. Verot ovat hyvästä.","Tax money is used to pay for a lot of good things, from education to health care, infrastructure, police and day-to-day operations. Taxes are good.",0,0
116,"Se, että ei voi ostaa kaikkea, mitä haluaa, ei ole köyhyyttä.",Not being able to buy everything you want is not poverty.,0,0
117,Ulkomaalaistaustaisten rikoksiin syyllistyneiden nopea ja automaattinen karkoitus maasta on toteutettava.,The quick and automatic deportation of those with a foreign background who have committed crimes from the country must be implemented.,0,0
118,"Sote-uudistuksen ylimääräinen ""hyvinvointialueiden""-hallintokerros tulee purkaa turhana byrokratiana ja kustannuksena.","The extra administrative layer of ""welfare areas"" of the Social Security reform should be dismantled as unnecessary bureaucracy and expense.",0,0
119,Kanta.fi palveluissa on hoitohenkilösten tekemien kirjausten korjaus oltava asiakkaalle/potilaalle yksinkertaisempaa.,"In Kanta.fi services, the correction of entries made by medical personnel must be simpler for the customer/patient.",0,0
120,Metsää ei saa hakata aurinkovoimaloiden tieltä.,The forest must not be cut down to make way for solar power plants.,0,0
121,"Lisättävä informaatiota siitä, miten Suomen poliittiset puolueet sijoittuvat EU-puoluekartalla.",Information should be added on how Finnish political parties are positioned on the EU party map.,0,0
122,Nuorten miesten väkivaltaisuus on yhteiskunnallinen ongelma.,The violence of young men is a social problem.,0,0
123,Palkat ovat jääneet pahasti jälkeen hintakehityksestä. Palkkoja tulisi nostaa.,Wages have fallen far behind the price development. Wages should be raised.,0,0
124,Venäjä on uhka Suomelle (poliittisesti ja/tai sotilaallisesti) ja Suomen tulee olla varautunut.,Russia is a threat to Finland (politically and/or militarily) and Finland must be prepared.,0,0
125,Rasismia joko on tai ei ole.,Racism either exists or it doesn't.,0,0
126,Kiinteistöveron pitäisi olla nykyistä korkeampi rikkaampien alueella,Property tax should be higher than it is now in the area of ​​the wealthiest,0,0
127,Tuetaan Ukrainaa ja autetaan sotaa paenneita,Let's support Ukraine and help those who fled the war,0,0
128,"Jos kotain on pakko verotttaa, verotetaan mielummin ympäristölle haitallista toimintaa kuin työtä","If something has to be taxed, it's better to tax activities that are harmful to the environment than work",0,0
129,"Olisi hyvä, että koko Suomi pysyisi asetettuna nykyisellä tasolla",It would be good if the whole of Finland stayed at the current level,0,0
130,"Kehitetään, koska suurin osa asuu kaupungeissa",Being developed because the majority live in cities,0,0
131,"Epätasa-arvo näkyy perheissä niin, että molemmat maksavat autosta, jota vain mies käyttää.",Inequality can be seen in families so that both pay for a car that only the man uses.,0,0
132,Pienet tuloerot lisäävät yhteiskunnan vakautta.,Small income differences increase the stability of society.,0,0
133,Ihmisiltä puuttuu toiveikas visio tulevaisuudesta.,People lack a hopeful vision of the future.,0,0
134,Monimutkaisten kotitalousvähennysten sijaan lasketaan kaikkien suomalaisten verotusta vähän,"Instead of complex household deductions, the taxation of all Finns is calculated a little",0,0
135,"Yhteiskunta on rakennettava sellaiseksi, että ihmiset eivät tarvitse autoja.",Society must be built in such a way that people don't need cars.,0,0
136,Uskontokuntaan liittymiselle on säädettävä alaikäraja.,There is a minimum age limit for joining a religious organization.,0,0
137,Hautaustoiminnasta pitää tehdä uskonnoista riippumaton yhteiskunnallinen palvelu.,Funeral services must be made a social service independent of religion.,0,0
138,Luterilaisen kirkon verotusoikeus on poistettava.,The taxing authority of the Lutheran Church must be removed.,0,0
139,"Suomessa on vihainen kansanosa, joka aiheuttaa yhteiskunnallisia ongelmia.",There is an angry part of the population in Finland that causes social problems.,0,0
140,"Terveydenhuollon yksityistämisessä ei ole järkeä, koska rahaa käytetään tällöin palvelun tuottamisen lisäksi yrityksen voittoihin.","It makes no sense to privatize healthcare, because the money is then used for the company's profits in addition to providing the service.",0,0
141,Suomalaisilla on huonommat käytöstavat kuin useimmilla länsi-eurooppalaisilla.,Finns have worse manners than most Western Europeans.,0,0
142,Asepalvelukseen on valittava sopivimmat sukupuolesta riippumatta.,"The most suitable must be selected for military service, regardless of gender.",0,0
143,"Ukrainaa on tuettava sotilaallisesti niin kauan, että se voittaa sodan Venäjää vastaan",Ukraine must be supported militarily until it wins the war against Russia,0,0
144,Asuminen pääkaupunkiseudulla on liian kallista,Living in the capital region is too expensive,0,0
145,Hyvinvointi on mahdollista ilman ylikulutusta.,Well-being is possible without overspending.,0,0
146,Elintaso ja kulutustaso eivät ole sama asia.,Standard of living and level of consumption are not the same thing.,0,0
147,Ilman lakkoja työntekijöillä ei olisi Suomessakaan mitään oikeuksia.,"Without strikes, workers would have no rights in Finland either.",0,0
148,Rikkaus luo epädemokraattista valtaa.,Wealth creates undemocratic power.,0,0
149,Verotuksen pitäisi olla nykyistä yksinkertaisempaa,Taxation should be simpler than it is now,0,0
150,Kaivoksia pitäisi verottaa enemmän,Mines should be taxed more,0,0
151,"Ihmisten ei tulisi muodostaa mielipiteitä asioista, joita he eivät ymmärrä.",People shouldn't form opinions about things they don't understand.,0,0
152,"Halutuimmille alueille kannattaisi rakentaa korkeammin, jotta luontoa säästyisi muualla",It would be worthwhile to build higher in the most desirable areas in order to save nature elsewhere,0,0
153,Tehtaiden työntekijöiden pitää voida mennä lakkoon hoitajien puolesta,Factory workers must be able to go on strike on behalf of the nurses,0,0
154,Suunnataan valtion rahoitusta yritystukien sijaan perustutkimukseen,Let's direct government funding to basic research instead of business subsidies,0,0
155,Vauhditetaan ilmastoa ja luontokatoa estäviä hankkeita nopeuttamalla lupakäsittelyä,Let's speed up projects that prevent climate and nature loss by speeding up permit processing,0,0
156,"Ei tingitä ympäristölupien laadusta, vaan huolehditaan, että lupkäsittelijöitä tärkeille hankkeille on tarpeeksi","The quality of environmental permits is not compromised, but we make sure that there are enough permit handlers for important projects",0,0
157,Lasketaan pyörien arvonlisäveroa,Let's calculate the value added tax on the wheels,0,0
158,Lisätään muovien verotusta,Taxation on plastics will be increased,0,0
159,Estetään kaivokset luonnonsuojelualueille,Let's prevent mines in nature reserves,0,0
160,"Jos yksityinen rakentaminen hyytyy, on parempi käyttää vapautunutta kapsiteettia esimerkiksi köyhille sopivien asuntojen rakentamiseen","If private construction freezes, it is better to use the freed capacity, for example, to build apartments suitable for the poor",0,0
161,Suomalaisten sivistystasossa on suuria eroja.,There are big differences in the level of education of Finns.,0,0
162,Ympäristömme kannustaa epäterveellisiin elintapoihin.,Our environment encourages unhealthy lifestyles.,0,0
163,Miljardöörien liika valta on uhka demokratialle.,Too much power of billionaires is a threat to democracy.,0,0
164,Henkeen ja terveyteen kohdistuvista rikoksista on rankaistava ankarammin kuin huume- ja talousrikoksista.,Crimes against life and health must be punished more severely than drug and economic crimes.,0,0
165,Parannetaan maaseudun bussiliikenneyhteyksiä,Rural bus transport connections will be improved,0,0
166,Tuetaan harvojen käyttämien maakuntalentojen sijaan bussiliikennettä,"Let's support bus traffic instead of regional flights, which are used by few",0,0
167,Pääkaupunkiseutu tarvitsee pienituloisia asukkaita tekemään matalasti palkattuja töitä.,The capital region needs low-income residents to do low-paid jobs.,0,0
168,Digitalisoitumisen aiheuttama tuottavuusloikka siirtää tuloja työntekijöiltä yrityksille ja siksi yrityksiä on verotettava enemmän.,"The leap in productivity caused by digitization transfers income from employees to companies, and therefore companies must be taxed more.",0,0
169,"Maapallo muuttuu elinkelvottomaksi, koska tarpeellisia toimia ei tehdä sen estämiseksi.",The Earth becomes unlivable because the necessary actions are not taken to prevent it.,0,0
170,Kiinteistöveron pitäisi perustua kiinteistön arvoon nykyistä tarkemmin,Property tax should be based on the property's value more precisely than at present,0,0
171,Suojellaan kaikki valtion omistamat luontoarvoiltaan merkitsevät metsät,All state-owned forests of significant nature value are protected,0,0
172,Joakista neliömetriä Suomesta ei pidä asuttaa,Every square meter of Finland should not be inhabited,0,0
173,"Suomalainen kirjastolaitos lisää aktiivista kansalaisuutta, demokratiaa ja sananvapautta.","The Finnish library institution increases active citizenship, democracy and freedom of speech.",0,0
174,"Riippumatta siitä, mitä olemme mieltä maahanmuutosta, huolehditaan, että Suomeen tulleet maahanmuuttajat kotoutuvat mahdollisimman hyvin","Regardless of what we think about immigration, we make sure that immigrants who come to Finland integrate as well as possible",0,0
175,Tarjotaan maksuton ehkäisy nuorille,Free contraception is offered to young people,0,0
176,"Ruotsinkielen asemaa ja Pohjoismaista ulottuvuutta Suomen kouluissa voisi painottaa enemmän suurena mahdollisuutena, ei pakkona.","The status of the Swedish language and the Nordic dimension in Finnish schools could be emphasized more as a great opportunity, not a compulsion.",0,0
177,"Bensan hintaa tulee hillitä, jotta kaikilla on varaa liikkua myös maaseudun pitkillä etäisyyksillä",The price of gasoline must be curbed so that everyone can afford to move even over long distances in the countryside,0,0
178,Presidentin rikosoikeudellinen vastuu on päivitettävä.,The president's criminal liability must be updated.,0,0
179,Nykyinen hallitus on huonoin sitten vuoden 1917.,The current government is the worst since 1917.,0,0
180,"Ilkeästi puhuvat ihmiset väittävät, että mitään ei saa sanoa, kun heille väitetään vastaan.",Nasty talkers claim that nothing can be said when they are objected to.,0,0
181,Verotetaan yksityislentokoneita enemmän,Private jets are taxed more,0,0
182,Tavoitellaan asunnottomuuden poistamista,We aim to eliminate homelessness,0,0
183,Iäkkäille on turvattava hyvä arki ja toimivat palvelut julkiselle taloudelle aiheutuvista kustannuksista riippumatta.,"A good everyday life and functioning services must be secured for the elderly, regardless of the costs to the public finances.",0,0
184,"Lasten ja nuorten harrastuksissa pitäisi julkiset tuet suunnata niin, että rahoilla saadaan useille harrastuksia ei huipuille","In children's and young people's hobbies, public subsidies should be directed so that the money can be used for several hobbies and not for the top ones",0,0
185,Tuetaan kansalaisten harrastamista ennemmin kuin huippu-urheilua,Let's support citizens' hobbies rather than elite sports,0,0
186,Kaivosten rakentamisen luonnonsuojelualueille on oltava yksiselitteisesti kiellettyä.,The construction of mines in nature conservation areas must be unequivocally prohibited.,0,0
187,"Kaikkien yritysten verotuksen pitäisi olla samalla viivalla riippumatta siitä, onko yritys listautunut pörssiin vai ei","The taxation of all companies should be on the same line, regardless of whether the company is listed on the stock exchange or not",0,0
188,"Joukkoliikenteen reittisuunnittelussa pitää hyödyntää mobiililaitteiden paikkatietoja, mistä ja mihin ihmiset kulkevat ja milloin.","In public transport route planning, location data from mobile devices, from where and where people go and when, must be used.",0,0
189,Yksinyrittäjien tulisi saada työttömyystukea jos töitä ei löydy,Self-employed people should receive unemployment support if they cannot find work,0,0
190,Yhteiskunnalliset kustannukset lisääntyvät pienituloisiin lapsiperheisiin kohdistuvien julkisten menojen säästöjen seurauksena.,Social costs increase as a result of savings in public spending aimed at low-income families with children.,0,0
191,Erilisten verovähennysten sijaan lasketaan kaikkien veronmaksajien verotusta vähän,"Instead of separate tax deductions, the taxation of all taxpayers is calculated a little",0,0
192,Lapsiperheköyhyys ei ole lapsen vika,Family poverty is not the child's fault,0,0
193,Lentoliikenteen tukemisen sijaan tulisi investoida raideliikenteeseen sillä se on ekologisempaa ja palvelee suurempia ihmismääriä,"Instead of subsidizing air transport, we should invest in rail transport, as it is more ecological and serves larger numbers of people",0,0
194,Sukupuolia on kaksi,There are two genders,0,0
195,Lapsiperheköyhyyttä tulee ehkäistä sillä sillä on kauaskantoiset vaikutukset lapsiin,Poverty in families with children must be prevented because it has far-reaching effects on children,0,0
196,"On turha vaatia rakentajia varaamaan autopaikkoja alueilla, joissa ihmisillä ei ole autoja",It is pointless to require builders to reserve parking spaces in areas where people do not have cars,0,0
197,"Huolehditaan, että opettajaksi päätyy suurinpiirtein yhtä paljon miehiä ja naisia",We make sure that roughly the same number of men and women end up as teachers,0,0
198,"Suomen huumekuolemien määrä kasvaa vuosi vuodelta, rangaistuksiin perustuvaa huumepolitiikkaa tulisi uudistaa","The number of drug-related deaths in Finland is increasing every year, the drug policy based on punishments should be reformed",0,0
199,Huumeiden käyttäjille pitäisi tarjota paremmat mahdollisuudet hakea apua leimautumatta rikolliseksi,Drug users should be offered better opportunities to seek help without being stigmatized as criminals,0,0
200,Suomalaiset liikkuvat liian vähän. Arkiliikuntaa pitäisi lisätä parantamalla kävely- ja pyöräilyolosuhteita.,Finns move too little. Daily exercise should be increased by improving walking and cycling conditions.,0,0
201,Pienituloisten tukien leikkaaminen vaikuttaa myös pienituloisten perheiden lapsiin,Cutting low-income benefits also affects children from low-income families,0,0
202,Kannustetaan lapsia kävelemään kouluu ja lasketaan siksi nopeusrajoituksia koulujen käheisyydessä,Let's encourage children to walk to school and therefore reduce speed limits in the hoarseness of schools,0,0
203,"Kannabista pitäisi kohdella sosiaalipoliittisena, eikä kriminaalipoliittisena ongelmana.","Cannabis should be treated as a social policy problem, not a criminal policy problem.",0,0
